Price,Bedrooms,Bathrooms,constructedArea,zipCode,yearBuilt,lotAreaSQFT,avgSchoolRating,avgSchoolDist
669900,3.0,3,2500.0,77004,2022.0,3125.0,4.0,1.9333333333333336
777999,5.0,5,3500.0,77004,1930.0,5501.628,3.0,1.4333333333333331
509900,2.0,3,1695.0,77019,1992.0,1612.0,999.0,999.0
264900,3.0,2,1456.0,77003,1928.0,4617.36,3.6666666666666665,1.1666666666666667
735000,2.0,2,1519.0,77006,1930.0,6224.724,999.0,999.0
360000,3.0,1,1348.0,77023,1927.0,5301.252,4.0,0.5666666666666668
250000,3.0,2,1242.0,77012,1948.0,5501.628,3.0,0.9666666666666668
210000,3.0,1,1700.0,77012,1940.0,5000.688,3.0,1.1666666666666667
249900,3.0,2,1636.0,77044,2022.0,8258.976,4.0,2.533333333333333
295500,4.0,1,1584.0,77012,1940.0,5000.688,4.333333333333333,0.3333333333333333
415000,3.0,2,1883.0,77023,1950.0,7601.22,3.6666666666666665,0.5
215000,3.0,1,1008.0,77020,1940.0,5000.688,3.333333333333333,0.7999999999999999
225000,2.0,1,928.0,77020,1928.0,4552.02,3.333333333333333,0.7333333333333334
270000,3.0,2,1656.0,77011,1930.0,4843.872,3.333333333333333,0.9333333333333332
219000,3.0,1,1047.0,77009,1948.0,4099.0,4.0,0.7000000000000001
365000,3.0,2,1450.0,77020,1938.0,5549.544,4.0,0.4000000000000001
259000,3.0,2,1428.0,77020,1946.0,5549.544,4.0,0.4000000000000001
590000,2.0,2,1204.0,77007,1940.0,3998.808,6.333333333333333,1.7333333333333332
279000,2.0,1,2158.627875809694,77023,1993.3090176773328,6250.86,3.333333333333333,0.5333333333333333
890000,3.0,3,2226.0,77008,1930.0,5000.688,6.0,0.3666666666666667
319900,3.0,2,1396.0,77023,1938.0,5000.0,3.333333333333333,0.3333333333333333
374900,3.0,2,1324.0,77023,1925.0,5000.688,3.333333333333333,0.3333333333333333
